Gene_ID	Reference	Strand	Start	End	Gene_length	Exon_Number	CDS_length	Transcript_Number	Transcript_ID	Ori_reads_mapped	Ori_reads_unmapped	Ori_reads_properMapped	Imputed_reads	Transcript_Exp	Gene_Exp
TGFBR3	chr1	-	92145900	92371559	225660	21	6802	3	NM_001195683,NR_036634,NM_001195684	32	0	32	100	0,3,0	3
PRUNE1	chr1	+	150980867	151008189	27323	8	3083	8	NM_001303242,NR_130132,NR_130131,NM_001303243,NM_001303229,NM_021222,NR_130130,NR_130135	62	1	62	24	0,3,3,0,1,2,0,0	9
C1orf21	chr1	+	184356150	184598155	242006	6	10308	1	NM_030806	40	0	40	66	8	8
PRDM16	chr1	+	2985742	3355185	369444	18	8723	2	NM_199454,NM_022114	0	0	0	0	0,0	0
COP1	chr1	-	175913962	176176380	262419	21	2789	3	NM_022457,NM_001001740,NM_001286644	79	1	79	70	6,0,0	6
LIN9	chr1	-	226418850	226497449	78600	16	3468	3	NM_001270410,NM_173083,NM_001270409	39	0	39	38	0,2,0	2
CAMTA1	chr1	+	6845384	7829766	984383	26	8465	3	NM_001349609,NM_001349610,NM_015215	94	2	94	168	0,0,0	0
ICMT	chr1	-	6281253	6296044	14792	5	4815	1	NM_012405	326	8	326	312	33	33
CLIC4	chr1	+	25071760	25170815	99056	6	4434	1	NM_013943	560	2	560	414	35	35
C1orf159	chr1	-	1017198	1051736	34539	13	2704	2	NM_001330306,NM_017891	31	1	31	30	2,0	2
