Chr	Start	End	Strand	Index	Gene_ID	Exon_length	Exon_Exp	PSI
chr1	92371383	92371559	-	1	TGFBR3	177	0.0	0
chr1	92365194	92365254	-	2	TGFBR3	61	0.0	0
chr1	92351435	92351836	-	3	TGFBR3	402	3.0	1
chr1	92327028	92327201	-	4	TGFBR3	174	3.0	1
chr1	92266516	92266612	-	5	TGFBR3	97	3.0	1
chr1	92262844	92263028	-	6	TGFBR3	185	3.0	1
chr1	92224170	92224307	-	7	TGFBR3	138	3.0	1
chr1	92200333	92200516	-	8	TGFBR3	184	3.0	1
chr1	92195362	92195530	-	9	TGFBR3	169	3.0	1
chr1	92193216	92193363	-	10	TGFBR3	148	3.0	1
chr1	92187512	92187701	-	11	TGFBR3	190	3.0	1
chr1	92185785	92185787	-	12	TGFBR3	3	3.0	1
chr1	92185450	92185784	-	13	TGFBR3	335	3.0	1
chr1	92184869	92185021	-	14	TGFBR3	153	3.0	1
chr1	92182125	92182265	-	15	TGFBR3	141	3.0	1
chr1	92181793	92181951	-	16	TGFBR3	159	3.0	1
chr1	92177800	92178099	-	17	TGFBR3	300	3.0	1
chr1	92174220	92174340	-	18	TGFBR3	121	3.0	1
chr1	92163646	92163687	-	19	TGFBR3	42	3.0	1
chr1	92161229	92161336	-	20	TGFBR3	108	3.0	1
chr1	92145900	92149414	-	21	TGFBR3	3515	3.0	1
chr1	150980867	150981147	+	1	PRUNE1	281	9.0	1
chr1	150990288	150990380	+	2	PRUNE1	93	9.0	1
chr1	150990943	150991145	+	3	PRUNE1	203	2.0	0.22222
chr1	150997087	150997271	+	4	PRUNE1	185	3.0	0.33333
chr1	150997991	150998149	+	5	PRUNE1	159	3.0	0.33333
chr1	150999709	150999803	+	6	PRUNE1	95	9.0	1
chr1	151001262	151001420	+	7	PRUNE1	159	6.0	0.66667
chr1	151006282	151008189	+	8	PRUNE1	1908	9.0	1
chr1	184356150	184356502	+	1	C1orf21	353	8.0	1
chr1	184446520	184446737	+	2	C1orf21	218	8.0	1
chr1	184476722	184476816	+	3	C1orf21	95	8.0	1
chr1	184559873	184559949	+	4	C1orf21	77	8.0	1
chr1	184567535	184567595	+	5	C1orf21	61	8.0	1
chr1	184588652	184598155	+	6	C1orf21	9504	8.0	1
chr1	2985742	2985860	+	1	PRDM16	119	0.0	0
chr1	3102689	3103038	+	2	PRDM16	350	0.0	0
chr1	3160651	3160701	+	3	PRDM16	51	0.0	0
chr1	3301716	3301850	+	4	PRDM16	135	0.0	0
chr1	3313055	3313157	+	5	PRDM16	103	0.0	0
chr1	3319355	3319562	+	6	PRDM16	208	0.0	0
chr1	3321303	3321450	+	7	PRDM16	148	0.0	0
chr1	3322059	3322212	+	8	PRDM16	154	0.0	0
chr1	3327948	3329364	+	9	PRDM16	1417	0.0	0
chr1	3331124	3331211	+	10	PRDM16	88	0.0	0
chr1	3334392	3334561	+	11	PRDM16	170	0.0	0
chr1	3335231	3335308	+	12	PRDM16	78	0.0	0
chr1	3342145	3342314	+	13	PRDM16	170	0.0	0
chr1	3342615	3342789	+	14	PRDM16	175	0.0	0
chr1	3347436	3347672	+	15	PRDM16	237	0.0	0
chr1	3348530	3348704	+	16	PRDM16	175	0.0	0
chr1	3350241	3350297	+	17	PRDM16	57	0.0	0
chr1	3350298	3355185	+	18	PRDM16	4888	0.0	0
chr1	176175708	176176380	-	1	COP1	673	6.0	1
chr1	176153769	176153828	-	2	COP1	60	6.0	1
chr1	176145046	176145143	-	3	COP1	98	6.0	1
chr1	176132963	176133027	-	4	COP1	65	6.0	1
chr1	176132951	176132962	-	5	COP1	12	6.0	1
chr1	176132005	176132124	-	6	COP1	120	6.0	1
chr1	176118142	176118210	-	7	COP1	69	6.0	1
chr1	176105624	176105683	-	8	COP1	60	6.0	1
chr1	176104146	176104222	-	9	COP1	77	6.0	1
chr1	176085760	176085817	-	10	COP1	58	6.0	1
chr1	176054912	176055026	-	11	COP1	115	6.0	1
chr1	176050288	176050423	-	12	COP1	136	6.0	1
chr1	176015317	176015460	-	13	COP1	144	6.0	1
chr1	176012846	176012954	-	14	COP1	109	6.0	1
chr1	176012322	176012403	-	15	COP1	82	6.0	1
chr1	175996708	175996824	-	16	COP1	117	6.0	1
chr1	175958498	175958615	-	17	COP1	118	6.0	1
chr1	175957424	175957548	-	18	COP1	125	6.0	1
chr1	175956079	175956239	-	19	COP1	161	6.0	1
chr1	175916331	175916375	-	20	COP1	45	6.0	1
chr1	175913962	175914306	-	21	COP1	345	6.0	1
chr1	226497327	226497449	-	1	LIN9	123	0.0	0
chr1	226496810	226497204	-	2	LIN9	395	2.0	1
chr1	226488874	226488906	-	3	LIN9	33	2.0	1
chr1	226485420	226485514	-	4	LIN9	95	2.0	1
chr1	226483543	226483647	-	5	LIN9	105	2.0	1
chr1	226475365	226475498	-	6	LIN9	134	2.0	1
chr1	226474034	226474159	-	7	LIN9	126	2.0	1
chr1	226465476	226465633	-	8	LIN9	158	2.0	1
chr1	226455658	226455791	-	9	LIN9	134	2.0	1
chr1	226453914	226454033	-	10	LIN9	120	2.0	1
chr1	226453234	226453335	-	11	LIN9	102	2.0	1
chr1	226438540	226438620	-	12	LIN9	81	2.0	1
chr1	226426672	226426797	-	13	LIN9	126	2.0	1
chr1	226421045	226421224	-	14	LIN9	180	2.0	1
chr1	226420797	226420894	-	15	LIN9	98	2.0	1
chr1	226418850	226420307	-	16	LIN9	1458	2.0	1
chr1	6845384	6845635	+	1	CAMTA1	252	0.0	0
chr1	6880241	6880310	+	2	CAMTA1	70	0.0	0
chr1	6885152	6885270	+	3	CAMTA1	119	0.0	0
chr1	7151364	7151431	+	4	CAMTA1	68	0.0	0
chr1	7309551	7309686	+	5	CAMTA1	136	0.0	0
chr1	7527890	7527961	+	6	CAMTA1	72	0.0	0
chr1	7700460	7700613	+	7	CAMTA1	154	0.0	0
chr1	7721786	7721926	+	8	CAMTA1	141	0.0	0
chr1	7723413	7725259	+	9	CAMTA1	1847	0.0	0
chr1	7730971	7731097	+	10	CAMTA1	127	0.0	0
chr1	7737659	7737793	+	11	CAMTA1	135	0.0	0
chr1	7792508	7792659	+	12	CAMTA1	152	0.0	0
chr1	7796404	7796600	+	13	CAMTA1	197	0.0	0
chr1	7796991	7797069	+	14	CAMTA1	79	0.0	0
chr1	7797315	7797630	+	15	CAMTA1	316	0.0	0
chr1	7798019	7798357	+	16	CAMTA1	339	0.0	0
chr1	7798358	7798542	+	17	CAMTA1	185	0.0	0
chr1	7804895	7805082	+	18	CAMTA1	188	0.0	0
chr1	7805905	7806151	+	19	CAMTA1	247	0.0	0
chr1	7807770	7807841	+	20	CAMTA1	72	0.0	0
chr1	7809831	7809851	+	21	CAMTA1	21	0.0	0
chr1	7811259	7811452	+	22	CAMTA1	194	0.0	0
chr1	7812519	7812524	+	23	CAMTA1	6	0.0	0
chr1	7812525	7812593	+	24	CAMTA1	69	0.0	0
chr1	7815698	7815728	+	25	CAMTA1	31	0.0	0
chr1	7826519	7829766	+	26	CAMTA1	3248	0.0	0
chr1	6295777	6296044	-	1	ICMT	268	33.0	1
chr1	6294946	6295034	-	2	ICMT	89	33.0	1
chr1	6293534	6293703	-	3	ICMT	170	33.0	1
chr1	6291962	6292179	-	4	ICMT	218	33.0	1
chr1	6281253	6285322	-	5	ICMT	4070	33.0	1
chr1	25071760	25072116	+	1	CLIC4	357	35.0	1
chr1	25124233	25124342	+	2	CLIC4	110	35.0	1
chr1	25140585	25140710	+	3	CLIC4	126	35.0	1
chr1	25153501	25153607	+	4	CLIC4	107	35.0	1
chr1	25166351	25166532	+	5	CLIC4	182	35.0	1
chr1	25167264	25170815	+	6	CLIC4	3552	35.0	1
chr1	1051440	1051736	-	1	C1orf159	297	2.0	1
chr1	1050402	1050455	-	2	C1orf159	54	2.0	1
chr1	1027371	1027483	-	3	C1orf159	113	2.0	1
chr1	1026852	1026945	-	4	C1orf159	94	2.0	1
chr1	1026256	1026363	-	5	C1orf159	108	2.0	1
chr1	1025733	1025808	-	6	C1orf159	76	2.0	1
chr1	1022882	1022977	-	7	C1orf159	96	2.0	1
chr1	1022519	1022584	-	8	C1orf159	66	2.0	1
chr1	1021258	1021392	-	9	C1orf159	135	2.0	1
chr1	1019861	1019886	-	10	C1orf159	26	2.0	1
chr1	1019733	1019763	-	11	C1orf159	31	2.0	1
chr1	1019295	1019732	-	12	C1orf159	438	2.0	1
chr1	1017198	1018367	-	13	C1orf159	1170	2.0	1
