Gene_ID	Transcript_ID	Reference	Strand	Start	End	Transcript_Index	Exons	Transcript_length	Transcript_Exp	Exp_ratio
TGFBR3	NM_001195683	chr1	-	92351435	92351836	1	3,4,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21	6464	0	0
TGFBR3	NR_036634	chr1	-	92351435	92351836	2	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21	6564	3	1
TGFBR3	NM_001195684	chr1	-	92371383	92371559	3	1,2,4,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21	6300	0	0
PRUNE1	NM_001303242	chr1	+	150980867	151008189	1	1,2,3,4,5,6,8	2924	0	0
PRUNE1	NR_130132	chr1	+	150980867	151008189	2	1,2,6,8	2377	3	0.33333
PRUNE1	NR_130131	chr1	+	150980867	151008189	3	1,2,6,7,8	2536	3	0.33333
PRUNE1	NM_001303243	chr1	+	150980867	151008189	4	1,2,3,6,7,8	2739	0	0
PRUNE1	NM_001303229	chr1	+	150980867	151008189	5	1,2,4,5,6,7,8	2880	1	0.11111
PRUNE1	NM_021222	chr1	+	150980867	151008189	6	1,2,3,4,5,6,7,8	3083	2	0.22222
PRUNE1	NR_130130	chr1	+	150980867	151008189	7	1,5,6,8	2443	0	0
PRUNE1	NR_130135	chr1	+	150980867	151008189	8	1,2,5,6,8	2536	0	0
C1orf21	NM_030806	chr1	+	184356150	184598155	1	1,2,3,4,5,6	10308	8	1
PRDM16	NM_199454	chr1	+	2985742	3355185	1	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18	8666	0	0
PRDM16	NM_022114	chr1	+	2985742	3355185	2	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18	8723	0	0
COP1	NM_022457	chr1	-	176175708	176176380	1	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21	2789	6	1
COP1	NM_001001740	chr1	-	176175708	176176380	2	1,2,3,4,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21	2717	0	0
COP1	NM_001286644	chr1	-	176175708	176176380	3	1,2,3,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21	2592	0	0
LIN9	NM_001270410	chr1	-	226497327	226497449	1	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16	3073	0	0
LIN9	NM_173083	chr1	-	226496810	226497204	2	2,3,4,5,6,7,8,9,10,11,12,13,14,15,16	3345	2	1
LIN9	NM_001270409	chr1	-	226496810	226497204	3	2,3,4,6,7,8,9,10,11,12,13,14,15,16	3240	0	0
CAMTA1	NM_001349609	chr1	+	6845384	7829766	1	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,26	8095	0	0
CAMTA1	NM_001349610	chr1	+	6845384	7829766	2	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,24,25,26	8120	0	0
CAMTA1	NM_015215	chr1	+	6845384	7829766	3	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26	8444	0	0
ICMT	NM_012405	chr1	-	6295777	6296044	1	1,2,3,4,5	4815	33	1
CLIC4	NM_013943	chr1	+	25071760	25170815	1	1,2,3,4,5,6	4434	35	1
C1orf159	NM_001330306	chr1	-	1051440	1051736	1	1,2,3,4,5,6,7,8,9,10,11,12,13	2704	2	1
C1orf159	NM_017891	chr1	-	1051440	1051736	2	1,3,4,6,7,8,9,10,11,13	2104	0	0
